ClinicID,ClinicName,ClinicPhone,ClinicEmail,ClinicAddress,ClinicCity,ClinicState,ClinicZip
1,Herman and Sons,1-(810)265-3496,jclemencet0@wix.com,8571 Pearson Terrace,Flint,MI,48550
2,Schimmel-Krajcik,1-(503)214-0954,bwiltshaw1@about.com,626 Boyd Court,Portland,OR,97216
3,Johnston  Johnson and Walter,1-(757)346-5026,hcamilletti2@dailymotion.com,0 Sutherland Junction,Herndon,VA,22070
4,Kerluke  Upton and Armstrong,1-(202)535-6418,emaher3@squarespace.com,191 Bultman Street,Washington,DC,20051
5,Wiegand LLC,1-(860)317-5412,dskarin4@icq.com,5125 Huxley Pass,Hartford,CT,6140
6,Koepp-Ebert,1-(907)702-9008,boliddy5@epa.gov,497 Becker Pass,Anchorage,AK,99512
7,Lubowitz  Leffler and O'Hara,1-(619)768-9926,jpye6@nymag.com,8 Mesta Court,Chula Vista,CA,91913
8,Mohr-Denesik,1-(916)774-9600,dlegg7@harvard.edu,78676 Del Mar Trail,Sacramento,CA,94237
9,Goldner-Altenwerth,1-(651)670-7205,eplank8@soup.io,412 Nobel Pass,Saint Paul,MN,55146
10,Hermiston Group,1-(714)572-5564,sstentiford9@imgur.com,7725 Arrowood Hill,Irvine,CA,92710
11,Anderson-Bahringer,1-(760)182-8938,bhanselmanna@usda.gov,23237 Sheridan Parkway,Los Angeles,CA,90040
12,Emard LLC,1-(754)833-0910,dhadleighb@elegantthemes.com,99 Dovetail Road,Pompano Beach,FL,33069
13,Hahn Group,1-(915)940-0536,ycurpheyc@cdbaby.com,0711 Garrison Parkway,El Paso,TX,79984
14,Gottlieb and Sons,1-(203)718-2610,klyled@answers.com,26 Anderson Junction,Norwalk,CT,6854
15,Koepp  Will and McClure,1-(203)634-4455,pskitche@pcworld.com,7876 Randy Plaza,Norwalk,CT,6859
16,Berge LLC,1-(212)208-4398,bboldersonf@twitpic.com,8820 Surrey Road,New York City,NY,10004
17,Murray and Sons,1-(516)511-8520,mwinnardg@odnoklassniki.ru,90 Hanson Hill,New Hyde Park,NY,11044
18,Wiza  Howe and Balistreri,1-(619)957-6242,agrzesiakh@army.mil,8 Tennyson Center,San Diego,CA,92132
19,Schaden-Bradtke,1-(847)515-3236,sloryi@cafepress.com,75246 Fair Oaks Center,Evanston,IL,60208
20,Greenfelder Inc,1-(937)540-3072,saitchisonj@washington.edu,3739 Bonner Park,Dayton,OH,45470
21,Price LLC,1-(918)619-3145,spratek@army.mil,8 Red Cloud Crossing,Tulsa,OK,74103
22,Dicki and Sons,1-(952)222-4326,lrhucroftl@webeden.co.uk,31683 Dovetail Plaza,Young America,MN,55551
23,Farrell  Langosh and Marquardt,1-(321)753-4907,apundm@blogspot.com,9239 Veith Drive,Orlando,FL,32803
24,Franecki-Feest,1-(615)989-6575,ldobeyn@home.pl,53531 Thierer Court,Nashville,TN,37235
25,Williamson  Kuvalis and Feeney,1-(213)563-7193,ypaudino@gov.uk,4 Jackson Hill,Los Angeles,CA,90050
26,Kuhlman  Bradtke and Hudson,1-(260)153-6152,iabbeyp@theguardian.com,15 Duke Street,Fort Wayne,IN,46857
27,Rippin Group,1-(772)956-0912,ccorkittq@paginegialle.it,666 Green Plaza,Vero Beach,FL,32969
28,Mraz-Emmerich,1-(901)688-6103,ebouslerr@loc.gov,1 Scofield Lane,Memphis,TN,38168
29,Schulist  Herzog and Ernser,1-(314)254-7563,nsumblers@whitehouse.gov,669 Fisk Center,Saint Louis,MO,63158
30,Welch  Bruen and Mraz,1-(616)214-7796,ableddont@oaic.gov.au,24313 Hayes Way,Grand Rapids,MI,49560
31,Morissette Group,1-(325)696-9047,sabrahmoviciu@mashable.com,11013 Beilfuss Hill,Abilene,TX,79605
32,Considine-Bechtelar,1-(817)907-1169,elidgatev@umn.edu,63 Reindahl Park,Fort Worth,TX,76129
33,Bashirian and Sons,1-(316)807-4689,kduigedw@deviantart.com,89982 Brown Place,Wichita,KS,67215
34,Hickle-O'Keefe,1-(714)763-5018,mwhetnellx@joomla.org,3826 Reinke Avenue,Irvine,CA,92710
35,Quitzon  Mante and Morissette,1-(267)272-7120,aclancyy@blogspot.com,87713 Springview Road,Philadelphia,PA,19146
36,Borer LLC,1-(856)713-7031,ohighwayz@foxnews.com,783 Dunning Parkway,Camden,NJ,8104
37,Cruickshank and Sons,1-(405)942-4368,lseally10@irs.gov,5984 Arapahoe Way,Oklahoma City,OK,73152
38,Satterfield LLC,1-(513)897-3722,cwatling11@tinyurl.com,3 Lindbergh Terrace,Cincinnati,OH,45238
39,Rice  Volkman and Wilderman,1-(412)935-2598,bmunns12@cornell.edu,9 Atwood Crossing,Mc Keesport,PA,15134
40,Gislason LLC,1-(215)406-5899,ghackly13@mysql.com,542 Montana Circle,Philadelphia,PA,19196
41,Pollich-Okuneva,1-(518)507-1141,bmaccrea14@ask.com,09647 Bashford Park,Albany,NY,12210
42,Hirthe-Zieme,1-(512)666-2935,acottesford15@hugedomains.com,55 Oakridge Road,Austin,TX,78769
43,McGlynn and Sons,1-(419)934-2108,jmcglue16@nasa.gov,56943 Blaine Road,Lima,OH,45807
44,Dibbert-Willms,1-(251)981-5440,hbrimelow17@irs.gov,3521 Annamark Court,Mobile,AL,36616
45,Bogan-Braun,1-(304)823-3015,cerskin18@tiny.cc,446 Forest Run Plaza,Huntington,WV,25716
46,Wuckert-Runte,1-(918)526-0586,mgolsby19@blogger.com,84869 Quincy Center,Tulsa,OK,74184
47,Dach LLC,1-(949)881-0013,gsilverthorne1a@mapquest.com,8 Menomonie Hill,Santa Clara,CA,95054
48,Kertzmann-Pagac,1-(831)480-3591,lbothen1b@mapquest.com,2294 Clemons Trail,Santa Clara,CA,95054
49,Toy  Kessler and Fay,1-(314)840-8247,ibreslane1c@globo.com,77 Nova Circle,Saint Louis,MO,63110
50,Bechtelar Group,1-(508)546-1412,tstollsteiner1d@ca.gov,10 Lakewood Road,Brockton,MA,2405
51,Schoen Inc,1-(510)365-0561,dstreatfield1e@webs.com,6921 Laurel Alley,Oakland,CA,94627
52,Miller Group,1-(260)747-1092,acrawshaw1f@free.fr,619 Rusk Circle,Fort Wayne,IN,46896
53,McKenzie-Zemlak,1-(808)837-3218,dbladesmith1g@imgur.com,22584 Huxley Center,Honolulu,HI,96815
54,Rodriguez  Kerluke and Murphy,1-(512)538-9979,lslowgrave1h@biglobe.ne.jp,9151 American Ash Point,Austin,TX,78764
55,Fritsch LLC,1-(414)711-8275,asirmon1i@guardian.co.uk,783 Linden Hill,Milwaukee,WI,53210
56,Osinski LLC,1-(510)827-0824,gbrader1j@answers.com,6 Caliangt Lane,Oakland,CA,94660
57,Torp  Greenholt and Cremin,1-(716)215-5855,hdegiorgio1k@amazon.de,7193 Milwaukee Street,Buffalo,NY,14225
58,Ortiz Group,1-(615)269-7124,bshelper1l@dedecms.com,28586 Westridge Crossing,Nashville,TN,37245
59,Predovic-Greenholt,1-(908)117-2041,lbaptista1m@slashdot.org,9 Tennessee Plaza,Jersey City,NJ,7310
60,Strosin  Kulas and Brakus,1-(626)630-2888,akynston1n@hostgator.com,13792 Delaware Lane,Pasadena,CA,91125
61,Zieme LLC,1-(918)538-3732,lvagg1o@slate.com,95612 Atwood Road,Tulsa,OK,74170
62,Morar  Klocko and Brown,1-(804)277-0386,aslyde1p@kickstarter.com,57521 Bluejay Drive,Richmond,VA,23213
63,Emmerich and Sons,1-(731)315-9284,vcullotey1q@comcast.net,164 Petterle Park,Jackson,TN,38308
64,Robel LLC,1-(319)290-1918,bgoldsby1r@bloomberg.com,85 Hallows Plaza,Waterloo,IA,50706
65,VonRueden-Bernhard,1-(334)229-4416,bzupo1s@ft.com,1 Garrison Trail,Birmingham,AL,35210
66,Cruickshank-Pacocha,1-(617)555-6571,bmctear1t@msn.com,1 Rowland Terrace,Boston,MA,2298
